Timestamp,Transacao ID,Data,Valor,Bandeira,Banco Emissor,Mensagem Processamento,Status Transacao
2024-01-15 12:07:59,a198-1a1e30a0ff0a,1705320479685,1030,visa,Banco Santander S.A.,NAO AUTORIZADO PELO PAGSEGURO,DECLINED
2024-01-15 12:07:59,9493-10f4e3081154,1705320479511,41145,mastercard,ITAU UNIBANCO S.A.,NAO AUTORIZADA - TENTE NOVAMENTE USANDO AUTENTICACAO,DECLINED
2024-01-15 12:07:59,bc8e-06abe411c018,1705320479384,1030,visa,Banco Santander S.A.,NAO AUTORIZADO PELO PAGSEGURO,DECLINED
2024-01-15 12:07:59,8832-bd37dbfe59f7,1705320479382,9645,mastercard,NU PAGAMENTOS SA,NAO AUTORIZADO PELO PAGSEGURO,DECLINED
2024-01-15 12:07:59,b593-c59eeadb0e2c,1705320479260,9531,mastercard,NU PAGAMENTOS SA,NAO AUTORIZADA - TENTE NOVAMENTE USANDO AUTENTICACAO,DECLINED
2024-01-15 12:07:58,873c-9d6002a701d6,1705320478165,7423,mastercard,BANCO BRADESCO S.A.,SUCESSO,PAID
2024-01-15 12:07:57,9fcc-1d29a9b1f3e8,1705320477282,135480,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:07:56,a684-08200825f8e3,1705320476082,44461,mastercard,NU PAGAMENTOS SA,SUCESSO,PAID
2024-01-15 12:07:55,88f9-8cc10d5b8fb3,1705320475572,400,visa,"",TRANSACAO INVALIDA - NAO TENTE NOVAMENTE,DECLINED
2024-01-15 12:07:54,a9de-a68fe637475e,1705320474886,11000,visa,Banco Santander S.A.,DESBLOQUEIE O CARTAO,DECLINED
2024-01-15 12:07:54,83a7-de25ab647933,1705320474808,11000,mastercard,DEUTSCHER SPARKASSEN UND GIROV,SUCESSO,PAID
2024-01-15 12:07:54,b920-32cd1da5234f,1705320474755,11200,mastercard,BANCO INTER S.A.,VERIFIQUE OS DADOS DO CARTAO,DECLINED
2024-01-15 12:07:54,b269-b36c53a80d6e,1705320474611,7473,mastercard,BANCO CSF S/A,SUCESSO,PAID
2024-01-15 12:07:53,b12e-0032260010cc,1705320473043,12999,mastercard,BANCO COOPERATIVO SICOOB S.A.,NAO AUTORIZADA - TENTE NOVAMENTE USANDO AUTENTICACAO,DECLINED
2024-01-15 12:07:52,b2ed-c396cc4b811b,1705320472928,100,visa,"",NAO AUTORIZADO PELO EMISSOR DO CARTAO,DECLINED
2024-01-15 12:07:52,a332-aab0d9ee5b56,1705320472605,11696,mastercard,NU PAGAMENTOS SA,SUCESSO,PAID
2024-01-15 12:07:52,a875-736450bd64d5,1705320472263,28970,mastercard,BANCO SANTANDER (BRASIL) S.A.,SUCESSO,PAID
2024-01-15 12:07:51,86ae-8d5ab203cb95,1705320471529,690,mastercard,"BANCO DO BRASIL, S.A.",NAO AUTORIZADO PELO PAGSEGURO,DECLINED
2024-01-15 12:07:51,9e70-005667f3757a,1705320471268,103490,mastercard,BANCO C6 SA,NAO AUTORIZADA - TENTE NOVAMENTE MAIS TARDE,DECLINED
2024-01-15 12:07:50,b7c7-b2fdf32e7182,1705320470727,100,visa,"",TRANSACAO INVALIDA - NAO TENTE NOVAMENTE,DECLINED
2024-01-15 12:07:49,982d-f30c9e5fde7f,1705320469561,36222,mastercard,BANCO C6 SA,NAO AUTORIZADA - TENTE NOVAMENTE USANDO AUTENTICACAO,DECLINED
2024-01-15 12:07:49,bd7c-057ab4dc1f58,1705320469360,1990,visa,Banco Bradesco S.A.,CONTATE A CENTRAL DO SEU CARTAO,DECLINED
2024-01-15 12:07:49,8c72-3aafd3f06b3a,1705320469112,5500,mastercard,PORTOSEG S.A. CREDITO FINANCIA,NAO AUTORIZADA - TENTE NOVAMENTE MAIS TARDE,DECLINED
2024-01-15 12:07:48,b46f-23ba481ef01f,1705320468996,21740,visa,Zema Credito Financiamento e Investimento S.A.,SUCESSO,PAID
2024-01-15 12:07:48,83d3-934abec735ed,1705320468909,5000,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:07:48,bd9f-8c8e665f6d61,1705320468671,30000,visa,"",SUCESSO,PAID
2024-01-15 12:07:48,8dc4-c9c9ca1f4d8b,1705320468528,26000,visa,Banco Cooperativo Sicredi S.A.,SUCESSO,PAID
2024-01-15 12:07:48,bc20-eda841268989,1705320468415,495,mastercard,ITAU UNIBANCO S.A.,SUCESSO,PAID
2024-01-15 12:07:47,b0fd-800afb0cb60b,1705320467981,495,mastercard,NU PAGAMENTOS SA,SUCESSO,PAID
2024-01-15 12:07:47,83c4-5277c28b00b0,1705320467961,13000,mastercard,BANCO ORIGINAL,SUCESSO,PAID
2024-01-15 12:07:47,ad43-e3b525eab723,1705320467432,100,visa,"",TRANSACAO INVALIDA - NAO TENTE NOVAMENTE,DECLINED
2024-01-15 12:07:47,8786-cc4b46161644,1705320467377,13965,visa,Banco Bradesco S.A.,SUCESSO,PAID
2024-01-15 12:07:46,b8c1-c8a1c3fa040a,1705320466584,100,mastercard,PAGSEGURO INTERNET LTDA,SUCESSO,PAID
2024-01-15 12:07:46,b6d4-c92fcda1422f,1705320466295,103765,visa,Banco Santander S.A.,TRANSACAO INVALIDA - NAO TENTE NOVAMENTE,DECLINED
2024-01-15 12:07:45,b248-fb29012768e4,1705320465902,5400,visa,Banco Cooperativo Sicoob S.A.,SUCESSO,PAID
2024-01-15 12:07:45,94c5-f64576cc6f91,1705320465869,9900,mastercard,NU PAGAMENTOS SA,NAO AUTORIZADA,DECLINED
2024-01-15 12:07:45,942a-44b0aab94a13,1705320465611,382965,visa,Banco Bradesco S.A.,NAO AUTORIZADA,DECLINED
2024-01-15 12:07:45,9a3f-7ed1627cc129,1705320465235,51573,mastercard,BANCO CSF S/A,SUCESSO,PAID
2024-01-15 12:07:45,9dc1-6b3f57b5e0fa,1705320465093,100,visa,"",NAO AUTORIZADO PELO EMISSOR DO CARTAO,DECLINED
2024-01-15 12:07:45,a5c1-c23e1cb605e2,1705320465008,1863,mastercard,BANCO PAN SA,TRANSACAO NAO PERMITIDA PARA O CARTAO - NAO TENTE NOVAMENTE,DECLINED
2024-01-15 12:07:44,82b2-24fd252ee35d,1705320464679,23904,mastercard,BANCO ORIGINAL,NAO AUTORIZADA,DECLINED
2024-01-15 12:07:44,b3ea-c78fb017114a,1705320464287,117766,visa,Banco do Brasil S.A.,NAO AUTORIZADO PELO PAGSEGURO,DECLINED
2024-01-15 12:07:43,b6c8-44ccd75464fb,1705320463573,100,visa,"",NAO AUTORIZADO PELO EMISSOR DO CARTAO,DECLINED
2024-01-15 12:07:42,a562-8e40c6b81a36,1705320462675,35000,mastercard,BANCO SANTANDER (BRASIL) S.A.,SUCESSO,PAID
2024-01-15 12:07:42,9773-4fc2a6361e4c,1705320462565,127348,mastercard,BANCO SANTANDER TOTTA S.A.,TRANSACAO INVALIDA - NAO TENTE NOVAMENTE,DECLINED
2024-01-15 12:07:42,a616-c0f37b87cad4,1705320462436,47832,mastercard,BANCO CSF S/A,VERIFIQUE OS DADOS DO CARTAO,DECLINED
2024-01-15 12:07:41,b96e-cd65bc0bd381,1705320461251,5500,mastercard,NU PAGAMENTOS SA,SUCESSO,PAID
2024-01-15 12:07:40,8552-e3bf656b7bad,1705320460954,1990,visa,Banco Bradesco S.A.,CONTATE A CENTRAL DO SEU CARTAO,DECLINED
2024-01-15 12:07:40,bfef-bbef41098dc2,1705320460880,5990,mastercard,ITAU UNIBANCO S.A.,NAO AUTORIZADO PELO PAGSEGURO,DECLINED
2024-01-15 12:07:40,b267-cda7de0cbede,1705320460737,9540,mastercard,BANCO ORIGINAL,SUCESSO,PAID
2024-01-15 12:07:40,b70b-0609443d6bce,1705320460525,1052600,mastercard,PAGSEGURO INTERNET LTDA,TRANSACAO INVALIDA - NAO TENTE NOVAMENTE,DECLINED
2024-01-15 12:07:40,a226-91a1a3faa9e6,1705320460410,7737,elo,Pernambucanas Financiadora SA Cred Fin e,SUCESSO,PAID
2024-01-15 12:07:40,a931-d487c11df9fe,1705320460093,23157,mastercard,NU PAGAMENTOS SA,SUCESSO,PAID
2024-01-15 12:07:38,9804-c2aa31492b55,1705320458895,5500,visa,Banco Bradescard S.A.,CONTATE A CENTRAL DO SEU CARTAO,DECLINED
2024-01-15 12:07:38,b826-17b57c283674,1705320458838,11790,visa,Caixa Economica Federal,TRANSACAO INVALIDA - NAO TENTE NOVAMENTE,DECLINED
2024-01-15 12:07:38,85ab-53b58d93674d,1705320458832,6000,mastercard,BANCO COOPERATIVO SICOOB S.A.,SUCESSO,PAID
2024-01-15 12:07:37,9c4e-3887e352ac91,1705320457643,19488,mastercard,CAIXA ECONOMICA FEDERAL,SUCESSO,PAID
2024-01-15 12:07:36,abe3-3af3994f5a54,1705320456693,27788,mastercard,"BANCO DO BRASIL, S.A.",SUCESSO,PAID
2024-01-15 12:07:36,82ac-eb2d997fb0a1,1705320456289,2000,visa,Banco do Brasil S.A.,SUCESSO,PAID
2024-01-15 12:07:35,a171-d22978b9eb5e,1705320455000,9313,mastercard,BANCO SANTANDER (BRASIL) S.A.,SUCESSO,PAID
2024-01-15 12:07:34,973d-2bcab0c43307,1705320454134,495,mastercard,BANCO SANTANDER (BRASIL) S.A.,SUCESSO,PAID
2024-01-15 12:07:33,a542-721958cc0e12,1705320453964,5000,visa,Caixa Economica Federal,CONTATE A CENTRAL DO SEU CARTAO,DECLINED
2024-01-15 12:07:33,9f8c-ed60d5edbfba,1705320453588,11922,mastercard,NU PAGAMENTOS SA,NAO AUTORIZADO PELO PAGSEGURO,DECLINED
2024-01-15 12:07:33,9d2f-1898945b745b,1705320453550,3500,visa,Banco Digio S.A.,CONTATE A CENTRAL DO SEU CARTAO - NAO TENTE NOVAMENTE,DECLINED
2024-01-15 12:07:33,aa53-c657358e7aef,1705320453525,200,mastercard,ITAU UNIBANCO S.A.,TRANSACAO NAO PERMITIDA - NAO TENTE NOVAMENTE,DECLINED
2024-01-15 12:07:33,b083-a19b90179b44,1705320453212,34902,mastercard,NU PAGAMENTOS SA,TRANSACAO NAO PERMITIDA PARA O CARTAO - NAO TENTE NOVAMENTE,DECLINED
2024-01-15 12:07:33,8fb0-0410ce6cf051,1705320453206,22680,mastercard,FORTBRASIL INSTITUIC?O DE PAGA,NAO AUTORIZADO PELO PAGSEGURO,DECLINED
2024-01-15 12:07:33,ba72-6ebf5209ad4f,1705320453202,185088,visa,Credz Administradora de Cartoes S.A.,NAO AUTORIZADA,DECLINED
2024-01-15 12:07:33,863f-12be4ba356f9,1705320453183,478800,elo,Banco do Brasil SA,NAO AUTORIZADO PELO PAGSEGURO,DECLINED
